key,name,Handedness,height,weight,Mean Batting Average,Mean Home Runs,Height_Class,Weight_Class,Physical Attributes,Count
1,Tom Brown,Right Handed,73,170,0,0,Taller,Thinner,Taller & Thinner,100
2,Denny Lemaster,Right Handed,73,182,0.13,4,Taller,Thinner,Taller & Thinner,100
3,Joe Nolan,Left Handed,71,175,0.263,27,Shorter,Thinner,Shorter & Thinner,107
4,Denny Doyle,Left Handed,69,175,0.25,16,Shorter,Thinner,Shorter & Thinner,107
5,Jose Cardenal,Right Handed,70,150,0.275,138,Shorter,Thinner,Shorter & Thinner,229
6,Mike Ryan,Right Handed,74,205,0.193,28,Taller,Heavier,Taller & Heavier,307
7,Fritz Peterson,Both L & R,72,185,0.159,2,Shorter,Heavier,Shorter & Heavier,10
8,Dick Bertell,Right Handed,72,200,0.25,10,Shorter,Heavier,Shorter & Heavier,101
9,Rod Kanehl,Right Handed,73,180,0.241,6,Taller,Thinner,Taller & Thinner,100
10,Ozzie Osborn,Right Handed,74,195,0,0,Taller,Heavier,Taller & Heavier,307
11,John LaRose,Left Handed,73,185,0,0,Taller,Heavier,Taller & Heavier,119
12,Jeff Byrd,Right Handed,75,195,0,0,Taller,Heavier,Taller & Heavier,307
13,Juan Bonilla,Right Handed,69,170,0.256,7,Shorter,Thinner,Shorter & Thinner,229
14,Frank Tepedino,Left Handed,71,185,0.241,6,Shorter,Heavier,Shorter & Heavier,47
15,Jerry Kutzler,Left Handed,73,175,0,0,Taller,Thinner,Taller & Thinner,43
16,Rick Wise,Right Handed,73,180,0.195,15,Taller,Thinner,Taller & Thinner,100
17,Darrell Evans,Left Handed,74,200,0.248,414,Taller,Heavier,Taller & Heavier,119
18,Buck Martinez,Right Handed,70,190,0.225,58,Shorter,Heavier,Shorter & Heavier,101
19,John Wockenfuss,Right Handed,72,190,0.262,86,Shorter,Heavier,Shorter & Heavier,101
20,Tommy McCraw,Left Handed,72,183,0.246,75,Shorter,Thinner,Shorter & Thinner,107
21,Jeff Barkley,Both L & R,75,185,0,0,Taller,Heavier,Taller & Heavier,27
22,Eric Wilkins,Right Handed,73,190,0,0,Taller,Heavier,Taller & Heavier,307
23,Britt Burns,Left Handed,77,215,0,0,Taller,Heavier,Taller & Heavier,119
24,Lee Lacy,Right Handed,73,175,0.286,91,Taller,Thinner,Taller & Thinner,100
25,Pete Rose,Both L & R,71,192,0.303,160,Shorter,Heavier,Shorter & Heavier,10
26,Danny Walton,Right Handed,72,195,0.223,28,Shorter,Heavier,Shorter & Heavier,101
27,Bobby Cox,Right Handed,71,180,0.225,9,Shorter,Thinner,Shorter & Thinner,229
28,Brad Wellman,Right Handed,72,170,0.231,6,Shorter,Thinner,Shorter & Thinner,229
29,Jeff Newman,Right Handed,74,215,0.224,63,Taller,Heavier,Taller & Heavier,307
30,Pedro Gonzalez,Right Handed,72,176,0.244,8,Shorter,Thinner,Shorter & Thinner,229
31,Nardi Contreras,Both L & R,74,193,0,0,Taller,Heavier,Taller & Heavier,27
32,Tommie Reynolds,Right Handed,74,190,0.226,12,Taller,Heavier,Taller & Heavier,307
33,Gene Clines,Right Handed,69,170,0.277,5,Shorter,Thinner,Shorter & Thinner,229
34,Jim Hickman,Right Handed,75,192,0.252,159,Taller,Heavier,Taller & Heavier,307
35,Jack Billingham,Right Handed,76,195,0.111,0,Taller,Heavier,Taller & Heavier,307
36,Jerry Buchek,Right Handed,71,185,0.22,22,Shorter,Heavier,Shorter & Heavier,101
37,Ivan DeJesus,Right Handed,71,175,0.254,21,Shorter,Thinner,Shorter & Thinner,229
38,Gary Nolan,Right Handed,74,197,0.138,1,Taller,Heavier,Taller & Heavier,307
39,Gil Patterson,Right Handed,73,185,0,0,Taller,Heavier,Taller & Heavier,307
40,Fred Whitfield,Left Handed,73,190,0.253,108,Taller,Heavier,Taller & Heavier,119
41,Larry Dierker,Right Handed,76,215,0.136,4,Taller,Heavier,Taller & Heavier,307
42,Dave Skaggs,Right Handed,74,200,0.241,3,Taller,Heavier,Taller & Heavier,307
43,Dick Ruthven,Right Handed,75,190,0.183,1,Taller,Heavier,Taller & Heavier,307
44,Jerry Garvin,Left Handed,75,195,0,0,Taller,Heavier,Taller & Heavier,119
45,Steve Eddy,Right Handed,74,185,0,0,Taller,Heavier,Taller & Heavier,307
46,Dave Kingman,Right Handed,78,210,0.236,442,Taller,Heavier,Taller & Heavier,307
47,Eric Soderholm,Right Handed,71,187,0.264,102,Shorter,Heavier,Shorter & Heavier,101
48,Kevin Mmahat,Left Handed,77,220,0,0,Taller,Heavier,Taller & Heavier,119
49,Ed Brinkman,Right Handed,72,170,0.224,60,Shorter,Thinner,Shorter & Thinner,229
50,Wayne Garrett,Left Handed,71,175,0.239,61,Shorter,Thinner,Shorter & Thinner,107
51,Tony Muser,Left Handed,74,180,0.259,7,Taller,Thinner,Taller & Thinner,43
52,Jim Siwy,Right Handed,76,200,0,0,Taller,Heavier,Taller & Heavier,307
53,Bud Anderson,Right Handed,75,210,0,0,Taller,Heavier,Taller & Heavier,307
54,Ted Ford,Right Handed,70,180,0.219,17,Shorter,Thinner,Shorter & Thinner,229
55,Kevin Stanfield,Left Handed,72,190,0,0,Shorter,Heavier,Shorter & Heavier,47
56,Jim Lyttle,Left Handed,72,180,0.248,9,Shorter,Thinner,Shorter & Thinner,107
57,John Butcher,Right Handed,76,185,0,0,Taller,Heavier,Taller & Heavier,307
58,Jerry Ujdur,Right Handed,73,195,0,0,Taller,Heavier,Taller & Heavier,307
59,Scot Thompson,Left Handed,75,195,0.262,5,Taller,Heavier,Taller & Heavier,119
60,Gene Locklear,Left Handed,70,165,0.274,9,Shorter,Thinner,Shorter & Thinner,107
61,Bo Diaz,Right Handed,71,185,0.255,87,Shorter,Heavier,Shorter & Heavier,101
62,Bump Wills,Both L & R,69,172,0.266,36,Shorter,Thinner,Shorter & Thinner,54
63,Brian Denman,Right Handed,76,205,0,0,Taller,Heavier,Taller & Heavier,307
64,Pat Putnam,Left Handed,72,205,0.255,63,Shorter,Heavier,Shorter & Heavier,47
65,Kurt Bevacqua,Right Handed,72,180,0.236,27,Shorter,Thinner,Shorter & Thinner,229
66,Bob Fallon,Left Handed,75,200,0,0,Taller,Heavier,Taller & Heavier,119
